Loan,Amount,Fico,Dti,IsExpensive,IsCalifornia,IsCashout,IsPrimary,PropOcc,PropState,PropType,Purpose
103421038,92800,695,10.476,0,0,1,1,Primary,NY,SFR_Dt,Cashout
103421506,278400,780,42.685,0,0,0,1,Primary,TX,SFR_At,Rate/Term
103421508,145000,700,49.574,0,0,1,1,Primary,GA,SFR_Dt,Cashout
103421732,165000,680,37.611,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103421848,228500,793,48.023,0,0,1,1,Primary,FL,SFR_Dt,Cashout
103421876,141000,669,43.363,0,0,1,1,Primary,NJ,CondoLo,Cashout
103421973,219500,766,34.667,0,0,0,1,Primary,PA,SFR_At,Rate/Term
103421991,195000,655,31.512,0,0,0,1,Primary,PA,SFR_Dt,Rate/Term
103422166,320000,796,38.667,0,0,1,1,Primary,ID,SFR_Dt,Cashout
103422184,305634,767,13.559,0,0,1,1,Primary,AZ,SFR_Dt,Cashout
103422272,282000,794,41.052,0,0,0,1,Primary,IN,SFR_At,Rate/Term
103422334,311200,757,35.904,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103422386,281000,781,47.863,0,0,1,1,Primary,NJ,SFR_Dt,Cashout
103422713,252000,687,41.869,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103422728,168750,655,32.181,0,0,1,1,Primary,TX,SFR_Dt,Cashout
103423137,381000,695,28.571,0,0,0,1,Primary,TN,SFR_Dt,Rate/Term
103423319,152880,694,37.166,0,0,0,1,Primary,NY,SFR_Dt,Rate/Term
103423456,105000,685,47.642,0,0,1,1,Primary,WV,SFR_Dt,Cashout
103423917,319000,779,33.099,0,0,0,1,Primary,IN,SFR_Dt,Rate/Term
103424027,484000,786,34.411,0,0,1,1,Primary,NV,SFR_At,Cashout
103424065,200000,761,23.726,0,0,0,1,Primary,AZ,SFR_Dt,Rate/Term
103424095,94500,647,29.722,0,0,1,1,Primary,WA,SFR_Dt,Cashout
103424224,204700,774,24.862,0,0,0,1,Primary,TX,SFR_At,Rate/Term
103424320,303000,775,40.692,0,0,0,1,Primary,MA,SFR_Dt,Rate/Term
103424434,224000,776,37.873,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103424716,280000,720,29.437,0,0,1,1,Primary,ID,SFR_Dt,Cashout
103425210,178000,744,35.336,0,0,0,0,NOO,TX,SFR_At,Rate/Term
103425481,431900,775,6.255,0,0,0,1,Primary,UT,SFR_Dt,Rate/Term
103425582,175000,646,23.296,0,0,1,1,Primary,FL,SFR_At,Cashout
103425640,435000,768,47.774,0,1,1,1,Primary,CA,SFR_Dt,Cashout
103425650,275000,809,26.578,0,1,1,1,Primary,CA,CondoHi,Cashout
103425707,88000,675,32.735,0,0,0,1,Primary,IN,SFR_Dt,Rate/Term
103425788,270500,743,39.711,0,0,1,1,Primary,OK,SFR_Dt,Cashout
103425841,215000,697,48.9,0,0,1,0,NOO,UT,SFR_Dt,Cashout
103425974,436000,731,35.788,0,1,0,1,Primary,CA,SFR_Dt,Rate/Term
103426078,203000,685,42.055,0,0,0,1,Primary,NC,SFR_At,Rate/Term
103426139,305000,771,25.878,0,0,0,1,Primary,MD,SFR_Dt,Rate/Term
103426244,189400,771,31.337,0,0,0,1,Primary,WI,SFR_Dt,Rate/Term
103426469,420000,773,48.69,0,0,1,1,Primary,OR,SFR_At,Cashout
103426481,159300,792,42.592,0,0,0,1,Primary,MA,CondoLo,Rate/Term
103426797,258000,785,50.409,0,0,1,0,NOO,WA,SFR_At,Cashout
103427209,260000,745,47.765,0,0,1,1,Primary,OH,SFR_Dt,Cashout
103427238,419000,723,29.321,0,0,0,1,Primary,CO,SFR_Dt,Rate/Term
103427249,360000,720,43.154,0,0,0,1,Primary,GA,SFR_Dt,Rate/Term
103427256,305338,779,28.165,0,0,1,1,Primary,TX,SFR_At,Cashout
103427308,361000,794,22.825,0,0,0,1,Primary,NJ,CondoLo,Rate/Term
103427331,202000,797,47.978,0,0,0,0,NOO,HI,CondoHi,Rate/Term
